Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
TNHC-GDC 527	TNHC:Herpetology:527	JAC 10534	KU 200786	Rneo_T527_JA17105	R. neovolcanica	México	Jalisco	19.970442	-103.766837	Yes	ATL_MXPL
TNHC-GDC 25870	TNHC:Herpetology:25870	WLH 1176	N/A	Rsph_T25870_JA17105	NA	USA	Texas	NA	NA	Yes	NA
TNHC-GDC 26064	TNHC:Herpetology:26064	TJL 608	N/A	Rsph_T26064_JA17105	NA	USA	Texas	NA	NA	Yes	NA
TNHC-GDC 105	TNHC:Herpetology:105	JAC 8469	KU 195375	T105_Rber_CMX	R. berlandieri	México	San Luis Potosí	22.901655	-101.748033	Yes	ATL_MXPL
TNHC-GDC 11	TNHC:Herpetology:11	JAC 7397	KU 195217	T11_CMX	R. berlandieri	México	Hidalgo	20.57778	-98.61027	Yes	ATL_MXPL
TNHC-GDC 1127	TNHC:Herpetology:1127	DMH 84-28	KU 200818	T1127_RTex_CMX	R. berlandieri	México	Puebla	20.193496	-98.034982	Yes	ATL_MXPL
TNHC-GDC 117	TNHC:Herpetology:117	JAC 8594	KU 195228	T117_CMX	R. berlandieri	México	Hidalgo	20.599762	-98.626845	Yes	ATL_MXPL
TNHC-GDC 130	TNHC:Herpetology:130	JAC 8602	KU 195332	T130_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	No	ATL_MXPL
TNHC-GDC 131	TNHC:Herpetology:131	JAC 8603	KU 195333	T131_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 134	TNHC:Herpetology:134	JAC 8623	KU 195187	T134_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 135	TNHC:Herpetology:135	JAC 8624	KU 195188	T135_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 136	TNHC:Herpetology:136	JAC 8625	KU 195189	T136_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 137	TNHC:Herpetology:137	JAC 8626	KU 195190	T137_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 138	TNHC:Herpetology:138	JAC 8627	KU 195191	T138_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
