Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33527	TNHC-FS 7133	N/A	TF7133_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33528	TNHC-FS 7134	N/A	TF7134_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33529	TNHC-FS 7135	N/A	TF7135_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33530	TNHC-FS 7136	N/A	TF7136_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33531	TNHC-FS 7137	N/A	TF7137_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33532	TNHC-FS 7138	N/A	TF7138_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33533	TNHC-FS 7139	N/A	TF7139_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33534	TNHC-FS 7140	N/A	TF7140_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33535	TNHC-FS 7141	N/A	TF7141_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33536	TNHC-FS 7142	N/A	TF7142_Rspe_CMX	NA	México	Oaxaca	16.94697	-96.8151	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33617	TNHC-FS 8500	N/A	TF8500_Rspe_CMX	NA	México	Hidalgo	20.18152	-98.74732	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33618	TNHC-FS 8501	N/A	TF8501_Rspe_CMX	NA	México	Hidalgo	20.18152	-98.74732	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33619	TNHC-FS 8502	N/A	TF8502_Rspe_CMX	NA	México	Hidalgo	20.18152	-98.74732	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33620	TNHC-FS 8503	N/A	TF8503_Rspe_CMX	NA	México	Hidalgo	20.18152	-98.74732	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33622	TNHC-FS 8505	N/A	TF8505_Rspe_CMX	NA	México	Hidalgo	20.18152	-98.74732	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:	TNHC-FS 8509	N/A	TF8509_Rspe_CMX	NA	México	Hidalgo	20.1518	-98.67848	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33635	TNHC-FS 8519	N/A	TF8519_Rspe_CMX	NA	México	Hidalgo	20.15295	-98.67859	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33648	TNHC-FS 8532	N/A	TF8532_Rmon_RJO	R. montezumae	México	Hidalgo	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33649	TNHC-FS 8533	N/A	TF8533_Rmon_RJO	R. montezumae	México	Hidalgo	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33650	TNHC-FS 8534	N/A	TF8534_Rmon_RJO	R. montezumae	México	Hidalgo	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33651	TNHC-FS 8535	N/A	TF8535_Rmon_RJO	R. montezumae	México	Hidalgo	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33652	TNHC-FS 8536	N/A	TF8536_Rber_CMX	R. berlandieri	México	Hidalgo	20.53003	-98.64086	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33665	TNHC-FS 8549	N/A	TF8549_Rber_CMX	R. berlandieri	México	Hidalgo	20.53003	-98.64086	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33670	TNHC-FS 8554	N/A	TF8554_Rber_CMX	R. berlandieri	México	Hidalgo	20.574277	-98.625035	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33676	TNHC-FS 8560	N/A	TF8560_Rber_CMX	R. berlandieri	México	Hidalgo	20.574277	-98.625035	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33677	TNHC-FS 8561	N/A	TF8561_Rber_CMX	R. berlandieri	México	Hidalgo	20.808497	-98.747011	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33688	TNHC-FS 8572	N/A	TF8572_Rber_CMX	R. berlandieri	México	Hidalgo	20.808497	-98.747011	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33696	TNHC-FS 8581	N/A	TF8581_Rber_CMX	R. berlandieri	México	Hidalgo	20.87704	-98.6577	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33703	TNHC-FS 8588	N/A	TF8588_Rber_CMX	R. berlandieri	México	Hidalgo	20.87704	-98.6577	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33705	TNHC-FS 8590	N/A	TF8590_Rber_CMX	R. berlandieri	México	Hidalgo	20.898748	-98.601877	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33712	TNHC-FS 8597	N/A	TF8597_Rber_CMX	R. berlandieri	México	Hidalgo	20.898748	-98.601877	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33714	TNHC-FS 8599	N/A	TF8599_Rber_CMX	R. berlandieri	México	Hidalgo	20.9894	-98.37048	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33716	TNHC-FS 8601	N/A	TF8601_Rber_CMX	R. berlandieri	México	Hidalgo	20.9894	-98.37048	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33722	TNHC-FS 8607	N/A	TF8607_Rber_CMX	R. berlandieri	México	Hidalgo	21.00839	-98.34592	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33728	TNHC-FS 8613	N/A	TF8613_Rber_CMX	R. berlandieri	México	Hidalgo	21.00839	-98.34592	Yes	ATL_MXPL
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33537	TNHC-FS 8635	N/A	TF8635_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33538	TNHC-FS 8636	N/A	TF8636_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33539	TNHC-FS 8637	N/A	TF8637_Rspe_CMX	R. forreri	México	Oaxaca	16.34919	-95.33441	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33540	TNHC-FS 8638	N/A	TF8638_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33541	TNHC-FS 8639	N/A	TF8639_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33542	TNHC-FS 8640	N/A	TF8640_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33543	TNHC-FS 8641	N/A	TF8641_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33544	TNHC-FS 8642	N/A	TF8642_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33545	TNHC-FS 8643	N/A	TF8643_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33546	TNHC-FS 8644	N/A	TF8644_Rspe_CMX	R. forreri	México	Oaxaca	16.34919	-95.33441	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33547	TNHC-FS 8645	N/A	TF8645_Rspe_CMX	R. macroglossa	México	Oaxaca	16.34919	-95.33441	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33548	TNHC-FS 8646	N/A	TF8646_Rspe_CMX	R. macroglossa	México	Oaxaca	16.35146	-95.26557	Yes	ATL_MXPL, PACMX, forreri
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33549	TNHC-FS 8647	N/A	TF8647_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33588	TNHC-FS 8648	N/A	TF8648_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33550	TNHC-FS 8649	N/A	TF8649_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33551	TNHC-FS 8650	N/A	TF8650_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33552	TNHC-FS 8651	N/A	TF8651_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33553	TNHC-FS 8652	N/A	TF8652_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33554	TNHC-FS 8653	N/A	TF8653_Rspe_CMX	R. forreri	México	Oaxaca	16.35146	-95.26557	Yes	forreri, ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33575	TNHC-FS 8674	N/A	TF8674_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33576	TNHC-FS 8675	N/A	TF8675_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33577	TNHC-FS 8676	N/A	TF8676_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33589	TNHC-FS 8677	N/A	TF8677_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	No	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33590	TNHC-FS 8678	N/A	TF8678_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33591	TNHC-FS 8679	N/A	TF8679_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	No	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33592	TNHC-FS 8680	N/A	TF8680_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33593	TNHC-FS 8681	N/A	TF8681_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33594	TNHC-FS 8682	N/A	TF8682_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33595	TNHC-FS 8683	N/A	TF8683_Rspe_CMX	NA	México	Oaxaca	16.97001	-96.1762	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33578	TNHC-FS 8684	N/A	TF8684_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33579	TNHC-FS 8685	N/A	TF8685_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33599	TNHC-FS 8686	N/A	TF8686_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33580	TNHC-FS 8687	N/A	TF8687_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33600	TNHC-FS 8688	N/A	TF8688_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33601	TNHC-FS 8689	N/A	TF8689_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33602	TNHC-FS 8690	N/A	TF8690_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33603	TNHC-FS 8691	N/A	TF8691_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33604	TNHC-FS 8692	N/A	TF8692_Rspe_CMX	NA	México	Oaxaca	16.93171	-96.4267	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33581	TNHC-FS 8694	N/A	TF8694_Rspe_CMX	NA	México	Oaxaca	16.930365	-96.422524	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33582	TNHC-FS 8695	N/A	TF8695_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33583	TNHC-FS 8696	N/A	TF8696_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33584	TNHC-FS 8697	N/A	TF8697_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33585	TNHC-FS 8698	N/A	TF8698_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33586	TNHC-FS 8699	N/A	TF8699_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
UTA A-56347	UTA:UTA-A:56347	JAC 22504	UTA:UTA-A:56347	UTA56347_Rspe_CMX	NA	México	Puebla	18.312	-97.51	Yes	ATL_MXPL
UTA A-60803	UTA:UTA-A:60803	JAC 24198	UTA:UTA-A:60803	UTA60803_Rfor_PAC	R. forreri	México	Guerrero	16.7055	-98.77121	Yes	forreri, PACMX
N/A	N/A	VLR 1	N/A	V1_PAC	R. forreri	México	Nayarit	22.128562	-105.204077	Yes	forreri, PACMX
N/A	N/A	VLR 10	N/A	V10_PAC	NA	México	Nayarit	22.388427	-105.452203	No	PACMX
N/A	N/A	VLR 11	N/A	V11_PAC	R. forreri	México	Nayarit	21.80689	-105.204299	Yes	forreri, PACMX
N/A	N/A	VLR 12	N/A	V12_PAC	R. forreri	México	Nayarit	21.80689	-105.204299	Yes	forreri, PACMX
N/A	N/A	VLR 13	N/A	V13_PAC	R. forreri	México	Nayarit	21.80689	-105.204299	Yes	forreri, PACMX
N/A	N/A	1311-04-101103	N/A	V1311_PAC	R. forreri	México	Colima	19.18286111	-103.6241667	Yes	forreri, PACMX
N/A	N/A	1312-01-101103	N/A	V1312_PAC	R. forreri	México	Colima	19.18286111	-103.6241667	Yes	forreri, PACMX
N/A	N/A	VLR 14	N/A	V14_PAC	R. forreri	México	Nayarit	21.80689	-105.204299	Yes	forreri, PACMX
N/A	N/A	VLR 15	N/A	V15_PAC	R. forreri	México	Nayarit	21.80689	-105.204299	Yes	forreri, PACMX
N/A	N/A	VLR 16	N/A	V16_PAC	R. forreri	México	Nayarit	21.80689	-105.204299	Yes	forreri, PACMX
N/A	N/A	VLR 2	N/A	V2_PAC	R. forreri	México	Nayarit	22.128562	-105.204077	Yes	forreri, PACMX
N/A	N/A	2593-01-311005	N/A	V2593_pap_PAC	R. omiltemana	México	Guerrero	17.17194444	-99.59027778	Yes	PACMX
N/A	N/A	2594-01-311005	N/A	V2594_Rfor_PAC	R. forreri	México	Guerrero	17.17194444	-99.59027778	Yes	forreri, PACMX
N/A	N/A	2595-01-311005	N/A	V2595_Rfor_PAC	R. forreri	México	Guerrero	17.16577778	-99.59055556	Yes	forreri, PACMX
N/A	N/A	2596-01-311005	N/A	V2596_pap_PAC	R. omiltemana	México	Guerrero	17.16577778	-99.59055556	Yes	PACMX
N/A	N/A	2598-01-311005	N/A	V2598_pap_PAC	R. forreri	México	Guerrero	17.16402778	-99.59166667	Yes	forreri, PACMX
N/A	N/A	2599-01-311005	N/A	V2599_pap_PAC	R. forreri	México	Guerrero	17.16402778	-99.59166667	Yes	forreri, PACMX
N/A	N/A	2600-01-311005	N/A	V2600_pap_PAC	R. forreri	México	Guerrero	17.16402778	-99.59166667	Yes	forreri, PACMX
N/A	N/A	2602-04-311005	N/A	V2602_pap_PAC	R. forreri	México	Guerrero	17.12763889	-99.50666667	Yes	forreri, PACMX
N/A	N/A	2603-03-311005	N/A	V2603_pap_PAC	R. omiltemana	México	Guerrero	17.17516667	-99.50611111	Yes	PACMX
N/A	N/A	2605-01-311005	N/A	V2605_pap_PAC	R. omiltemana	México	Guerrero	17.17516667	-99.50611111	Yes	PACMX
N/A	N/A	2606-01-311005	N/A	V2606_pap_PAC	R. omiltemana	México	Guerrero	17.10791667	-99.55722222	Yes	PACMX
N/A	N/A	2611-01-211105	N/A	V2611_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2612-03-211105	N/A	V2612_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2613-03-211105	N/A	V2613_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2617-01-211105	N/A	V2617_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2618-01-211105	N/A	V2618_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2620-01-211105	N/A	V2620_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2621-01-211105	N/A	V2621_pap_PAC	(presumed)	México	Guerrero	17.01886111	-99.79055556	No	PACMX
N/A	N/A	2644-01-121205	N/A	V2644_pap_PAC	R. omiltemana	México	Guerrero	16.881965	-99.81864	No	PACMX
N/A	N/A	2645-02-121205	N/A	V2645_pap_PAC	R. omiltemana	México	Guerrero	16.881965	-99.81864	Yes	PACMX
N/A	N/A	2646-01-121205	N/A	V2646_pap_PAC	R. omiltemana	México	Guerrero	16.881965	-99.81864	Yes	PACMX
N/A	N/A	2648-01-121205	N/A	V2648_pap_PAC	R. omiltemana	México	Guerrero	16.881965	-99.81864	Yes	PACMX
N/A	N/A	2649-02-121205	N/A	V2649_pap_PAC	R. omiltemana	México	Guerrero	16.881965	-99.81864	Yes	PACMX
N/A	N/A	2650-01-131205	N/A	V2650_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2651-01-131205	N/A	V2651_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2654-01-131205	N/A	V2654_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2655-01-131205	N/A	V2655_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2656-01-131205	N/A	V2656_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	No	PACMX
N/A	N/A	2657-01-131205	N/A	V2657_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2658-01-131205	N/A	V2658_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2659-01-131205	N/A	V2659_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2660-01-141205	N/A	V2660_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2661-01-141205	N/A	V2661_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2662-01-141205	N/A	V2662_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2663-01-141205	N/A	V2663_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2664-01-141205	N/A	V2664_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2665-01-141205	N/A	V2665_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2666-01-141205	N/A	V2666_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2669-01-141205	N/A	V2669_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2670-01-141205	N/A	V2670_pap_PAC	R. omiltemana	México	Guerrero	17.08436111	-99.73	Yes	PACMX
N/A	N/A	2685-01-100206	N/A	V2685_Rfor_PAC	R. forreri	México	Oaxaca	16.55852778	-94.60472222	Yes	forreri, PACMX
N/A	N/A	2686-01-100206	N/A	V2686_Rfor_PAC	R. forreri	México	Oaxaca	16.55852778	-94.60472222	Yes	forreri, PACMX
N/A	N/A	2687-01-100206	N/A	V2687_Rfor_PAC	R. forreri	México	Oaxaca	16.55852778	-94.60472222	Yes	forreri, PACMX
N/A	N/A	2688-02-100206	N/A	V2688_Rfor_PAC	R. forreri	México	Oaxaca	16.55852778	-94.60472222	Yes	forreri, PACMX
N/A	N/A	2689-01-100206	N/A	V2689_Rfor_PAC	R. forreri	México	Oaxaca	16.55852778	-94.60472222	Yes	forreri, PACMX
N/A	N/A	2691-01-110206	N/A	V2691_Rfor_PAC	R. forreri	México	Oaxaca	16.48236111	-94.36166667	Yes	forreri, PACMX
N/A	N/A	2692-03-150206	N/A	V2692_Rfor_PAC	R. forreri	México	Chiapas	16.04061111	-93.70555556	Yes	forreri, PACMX
N/A	N/A	2693-04-150206	N/A	V2693_Rfor_PAC	R. forreri	México	Chiapas	16.04061111	-93.70555556	Yes	forreri, PACMX
N/A	N/A	2695-01-160206	N/A	V2695_Rfor_PAC	R. forreri	México	Oaxaca	15.90997222	-93.97861111	Yes	forreri, PACMX
N/A	N/A	2696-01-160206	N/A	V2696_Rfor_PAC	R. forreri	México	Chiapas	16.04061111	-93.70555556	Yes	forreri, PACMX
N/A	N/A	2697-01-170206	N/A	V2697_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	Yes	forreri, PACMX
N/A	N/A	2699-02-160206	N/A	V2699_Rfor_PAC	R. forreri	México	Oaxaca	15.90997222	-93.97861111	Yes	forreri, PACMX
N/A	N/A	2700-02-160206	N/A	V2700_Rfor_PAC	R. forreri	México	Oaxaca	15.90997222	-93.97861111	Yes	forreri, PACMX
N/A	N/A	2701-01-160206	N/A	V2701_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	Yes	forreri, PACMX
N/A	N/A	2702-01-160206	N/A	V2702_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	Yes	forreri, PACMX
N/A	N/A	2706-06-160206	N/A	V2706_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	Yes	forreri, PACMX
N/A	N/A	2707-01-160206	N/A	V2707_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	Yes	forreri, PACMX
N/A	N/A	2708-02-160206	N/A	V2708_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	Yes	forreri, PACMX
N/A	N/A	2709-02-160206	N/A	V2709_Rfor_PAC	R. forreri	México	Chiapas	15.37591667	-92.75972222	No	PACMX
N/A	N/A	2717-01-180406	N/A	V2717_PAC	R. forreri	México	Colima	19.18305556	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2718-02-180406	N/A	V2718_PAC	R. forreri	México	Colima	19.18305556	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2719-01-180406	N/A	V2719_PAC	R. forreri	México	Colima	19.18305556	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2720-01-180406	N/A	V2720_PAC	R. forreri	México	Colima	19.18308333	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2721-01-180406	N/A	V2721_PAC	R. forreri	México	Colima	19.18305556	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2722-02-180406	N/A	V2722_PAC	R. forreri	México	Colima	19.18305556	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2723-05-180406	N/A	V2723_PAC	R. forreri	México	Colima	19.18308333	-103.6269444	Yes	forreri, PACMX
N/A	N/A	2724-02-180406	N/A	V2724_PAC	R. forreri	México	Colima	19.18305556	-103.6269444	Yes	forreri, PACMX
