Bioinformatics_ID	site_name	state
TF7120_Rfor_PAC	Juchatengo	Oaxaca
TF7121_Rfor_PAC	Juchatengo	Oaxaca
TF7122_Rfor_PAC	Juchatengo	Oaxaca
TF7123_Rfor_PAC	Juchatengo	Oaxaca
TF7124_Rfor_PAC	Juchatengo	Oaxaca
TF7125_Rfor_PAC	Juchatengo	Oaxaca
TF7126_Rfor_PAC	Juchatengo	Oaxaca
TF7127_Rfor_PAC	Juchatengo	Oaxaca
TF7128_Rfor_PAC	Juchatengo	Oaxaca
TF7129_Rfor_PAC	Juchatengo	Oaxaca
T14199_PAC	Tapanatepec	Oaxaca
T24978_PAC	Tapanatepec	Oaxaca
V2691_Rfor_PAC	PuenteZanatepec	Oaxaca
T3791_CMX	Teopisca	Chiapas
T3800_CMX	Teopisca	Chiapas
T3805_CMX	Teopisca	Chiapas
T3807_CMX	Teopisca	Chiapas
TF7101_Rspe_CMX	SoladeVega	Oaxaca
TF7102_Rspe_CMX	SoladeVega	Oaxaca
TF7103_Rspe_CMX	SoladeVega	Oaxaca
TF8695_Rspe_CMX	SoladeVega	Oaxaca
TF8696_Rspe_CMX	SoladeVega	Oaxaca
TF8697_Rspe_CMX	SoladeVega	Oaxaca
TF8698_Rspe_CMX	SoladeVega	Oaxaca
TF8699_Rspe_CMX	SoladeVega	Oaxaca
V2685_Rfor_PAC	PuenteNiltepec	Oaxaca
V2686_Rfor_PAC	PuenteNiltepec	Oaxaca
V2687_Rfor_PAC	PuenteNiltepec	Oaxaca
V2688_Rfor_PAC	PuenteNiltepec	Oaxaca
V2689_Rfor_PAC	PuenteNiltepec	Oaxaca
V3076_PAC	PtePlatanal	Oaxaca
V3077_PAC	PtePlatanal	Oaxaca
V3078_PAC	PtePlatanal	Oaxaca
V3079_PAC	PtePlatanal	Oaxaca
V3080_PAC	PtePlatanal	Oaxaca
V3081_PAC	PtePlatanal	Oaxaca
V3082_PAC	PtePlatanal	Oaxaca
T14182_PAC	ColoniaRodulfoFigueroa	Oaxaca
T3618_PAC	ColoniaRodulfoFigueroa	Oaxaca
T3661_PAC	ColoniaRodulfoFigueroa	Oaxaca
T3670_PAC	ColoniaRodulfoFigueroa	Oaxaca
T3662_PAC	ColoniaRodulfoFigueroa	Oaxaca
T14224_PAC	SanCristobaldelasCasas	Chiapas
T3683_PAC	SanCristobaldelasCasas	Chiapas
T3686_PAC	SanCristobaldelasCasas	Chiapas
T3688_PAC	SanCristobaldelasCasas	Chiapas
T3689_PAC	SanCristobaldelasCasas	Chiapas
T3691_PAC	SanCristobaldelasCasas	Chiapas
T3693_PAC	SanCristobaldelasCasas	Chiapas
T3695_PAC	SanCristobaldelasCasas	Chiapas
T3698_PAC	SanCristobaldelasCasas	Chiapas
UTA60803_Rfor_PAC	SanLuisAcatlan	Guerrero
V3074_PAC	SanJuanCacahuatepec	Oaxaca
T3678_CMX	Hwy190Hwy195	Chiapas
T3776_CMX	Hwy190Hwy195	Chiapas
T3681_CMX	Hwy190Hwy195	Chiapas
T3629_PAC	ChiapadeCorzo1	Chiapas
V2921_PAC	LagunaBelgica	Chiapas
V2644_pap_PAC	RiolaSabana	Guerrero
V2645_pap_PAC	RiolaSabana	Guerrero
V2646_pap_PAC	RiolaSabana	Guerrero
V2648_pap_PAC	RiolaSabana	Guerrero
V2649_pap_PAC	RiolaSabana	Guerrero
V3072_PAC	PuentelaJunta	Oaxaca
TF8694_Rspe_CMX	MotellosSauces	Oaxaca
TF8684_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8685_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8686_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8687_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8688_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8689_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8690_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8691_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8692_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF7133_Rspe_CMX	Zaachila	Oaxaca
TF7134_Rspe_CMX	Zaachila	Oaxaca
TF7135_Rspe_CMX	Zaachila	Oaxaca
TF7136_Rspe_CMX	Zaachila	Oaxaca
TF7137_Rspe_CMX	Zaachila	Oaxaca
TF7138_Rspe_CMX	Zaachila	Oaxaca
TF7139_Rspe_CMX	Zaachila	Oaxaca
TF7140_Rspe_CMX	Zaachila	Oaxaca
TF7141_Rspe_CMX	Zaachila	Oaxaca
TF7142_Rspe_CMX	Zaachila	Oaxaca
T351_Rspe_CMX	Mitla	Oaxaca
T467_Rspe_CMX	Mitla	Oaxaca
T486_Rspe_CMX	Mitla	Oaxaca
T528_Rspe_CMX	Mitla	Oaxaca
T537_Rspe_CMX	Mitla	Oaxaca
TF8674_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8675_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8676_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8677_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8678_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8679_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8680_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8681_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8682_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8683_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
V2611_pap_PAC	LaSabana	Guerrero
V2612_pap_PAC	LaSabana	Guerrero
V2613_pap_PAC	LaSabana	Guerrero
V2617_pap_PAC	LaSabana	Guerrero
V2618_pap_PAC	LaSabana	Guerrero
V2620_pap_PAC	LaSabana	Guerrero
V2621_pap_PAC	LaSabana	Guerrero
V2650_pap_PAC	RiolaSabana2	Guerrero
V2651_pap_PAC	RiolaSabana2	Guerrero
V2654_pap_PAC	RiolaSabana2	Guerrero
V2655_pap_PAC	RiolaSabana2	Guerrero
V2656_pap_PAC	RiolaSabana2	Guerrero
V2657_pap_PAC	RiolaSabana2	Guerrero
V2658_pap_PAC	RiolaSabana2	Guerrero
V2659_pap_PAC	RiolaSabana2	Guerrero
V2660_pap_PAC	RiolaSabana2	Guerrero
V2661_pap_PAC	RiolaSabana2	Guerrero
V2662_pap_PAC	RiolaSabana2	Guerrero
V2663_pap_PAC	RiolaSabana2	Guerrero
V2664_pap_PAC	RiolaSabana2	Guerrero
V2665_pap_PAC	RiolaSabana2	Guerrero
V2666_pap_PAC	RiolaSabana2	Guerrero
V2669_pap_PAC	RiolaSabana2	Guerrero
V2670_pap_PAC	RiolaSabana2	Guerrero
V2606_pap_PAC	AguadePerro	Guerrero
V2602_pap_PAC	FrenteOmitlan	Guerrero
T1957_papa_PAC	RioPapagayo	Guerrero
T1958_papa_PAC	RioPapagayo	Guerrero
T1959_papa_PAC	RioPapagayo	Guerrero
T1960_papa_PAC	RioPapagayo	Guerrero
T1961_papa_PAC	RioPapagayo	Guerrero
T1965_papa_PAC	RioPapagayo	Guerrero
T14192_papa_PAC	RioPapagayo	Guerrero
V2600_pap_PAC	RioelAmate	Guerrero
V2598_pap_PAC	RioelAmate	Guerrero
V2599_pap_PAC	RioelAmate	Guerrero
V2596_pap_PAC	RioelAmate	Guerrero
V2595_Rfor_PAC	RioelAmate	Guerrero
V2593_pap_PAC	RioelAmate	Guerrero
V2594_Rfor_PAC	RioelAmate	Guerrero
V2603_pap_PAC	PotreroOriental	Guerrero
V2605_pap_PAC	PotreroOriental	Guerrero
T14198_PAC	SanVicentedeBenitez	Guerrero
T15_PAC	SanVicentedeBenitez	Guerrero
T14203_Romi_CMX	AguadeObispo	Guerrero
T14236_Romi_CMX	AguadeObispo	Guerrero
T513_Romi_CMX	AguadeObispo2	Guerrero
JA24801_PAC	Hwy200	Guerrero
JA22541_Rspe_CMX	PuenteCarrizalillos	Oaxaca
T1962_PAC	Arcelia	Guerrero
T1963_arcelia_PAC	Arcelia	Guerrero
T1964_arcelia_PAC	Arcelia	Guerrero
T282_Atoy_CMX	RioAtoyac	Puebla
T283_Atoy_CMX	RioAtoyac	Puebla
T290_Atoy_CMX	RioAtoyac	Puebla
T403_Rber_CMX	RioBlanco	Veracruz
T3430_PAC	Colima	Colima
T4029_bals_PAC	Colima	Colima
V1311_PAC	RanchoJulioCarrillo	Colima
V1312_PAC	RanchoJulioCarrillo	Colima
V2717_PAC	Ticuizitan	Colima
V2718_PAC	Ticuizitan	Colima
V2719_PAC	Ticuizitan	Colima
V2721_PAC	Ticuizitan	Colima
V2722_PAC	Ticuizitan	Colima
V2724_PAC	Ticuizitan	Colima
V2728_PAC	Ticuizitan	Colima
V2720_PAC	Ticuizitan	Colima
V2723_PAC	Ticuizitan	Colima
V2725_PAC	Ticuizitan	Colima
V2726_PAC	Ticuizitan	Colima
V2727_PAC	Ticuizitan	Colima
V2729_PAC	Ticuizitan	Colima
V2730_PAC	Ticuizitan	Colima
V2751_PAC	Chupio	Michoacán
T3437_PAC	Atenquique11	Jalisco
T14429_Aten_PAC	Atenquique	Jalisco
T2020_Aten_PAC	Atenquique	Jalisco
T2022_Aten_PAC	Atenquique	Jalisco
T2024_PAC	Contla	Jalisco
T2025_PAC	Contla	Jalisco
V2906_PAC	LaCruzdeLoreto	Jalisco
V2833_PAC	ElTule	Jalisco
T416_RTex_CMX	RioTexcapa	Puebla
V2830_PAC	LaEstancia	Jalisco
V2831_PAC	LasPalmas	Jalisco
V2832_PAC	LaLagunaLasPalmas	Jalisco
V2799_PAC	SanPedroLagunillas	Nayarit
V2794_PAC	SanPedroLagunillas	Nayarit
V2798_PAC	SanPedroLagunillas	Nayarit
V2800_PAC	SanPedroLagunillas	Nayarit
V2790_PAC	SantaMariadelOro	Nayarit
V2791_PAC	SantaMariadelOro	Nayarit
V2792_PAC	SantaMariadelOro	Nayarit
V2793_PAC	SantaMariadelOro	Nayarit
V2796_PAC	SantaMariadelOro	Nayarit
V2782_PAC	Cofradia	Nayarit
V2786_PAC	Cofradia	Nayarit
V2795_PAC	Cofradia	Nayarit
V2764_PAC	PasoLozada	Nayarit
V2778_PAC	PasoLozada	Nayarit
V2779_PAC	PasoLozada	Nayarit
V2780_PAC	PasoLozada	Nayarit
V2762_PAC	PuenteArroyo	Nayarit
V2761_PAC	PuenteArroyo	Nayarit
V2763_PAC	PuenteArroyo	Nayarit
V11_PAC	LaPapalota	Nayarit
V12_PAC	LaPapalota	Nayarit
V13_PAC	LaPapalota	Nayarit
V14_PAC	LaPapalota	Nayarit
V15_PAC	LaPapalota	Nayarit
V16_PAC	LaPapalota	Nayarit
V1_PAC	ArroyoBejucos	Nayarit
V2_PAC	ArroyoBejucos	Nayarit
V3_PAC	ArroyoBejucos	Nayarit
V4_PAC	ArroyoBejucos	Nayarit
V5_PAC	ArroyoBejucos	Nayarit
V6_PAC	ArroyoBejucos	Nayarit
V7_PAC	Atotonilco	Nayarit
V8_PAC	Atotonilco	Nayarit
V10_PAC	Atotonilco	Nayarit
V9_PAC	Atotonilco	Nayarit
T2059_Rfor_PAC	Escuinapa	Sinaloa
T14440_Rmag_CMX	ElBatel	Sinaloa
T2072_Rmag_CMX	ArroyoHondo	Sonora
T14438_OUT	ReddingtonRd	Arizona
T14298_Ryav_OUT	JuanMillerCrossing	Arizona
T3447_yava_OUT	JuanMillerCrossing	Arizona
T3449_yava_OUT	JuanMillerCrossing	Arizona
T3605_Llano_PAC	LlanoGrande	Oaxaca
V2797_PAC		N/A
V2747_PAC		N/A
V2749_PAC		N/A
