Bioinformatics_ID	lat	long	dataset
T1964_arcelia_PAC	18.315918	-100.298865	stringent
T1965_papa_PAC	17.158608	-99.590452	stringent
T2020_Aten_PAC	19.527987	-103.44055	stringent
T2024_PAC	19.74643	-103.182942	stringent
T2059_Rfor_PAC	22.55783	-105.7435	stringent
T2072_Rmag_CMX	28.236482	-109.312929	stringent
T282_Atoy_CMX	18.388683	-98.304836	stringent
T283_Atoy_CMX	18.388683	-98.304836	stringent
T290_Atoy_CMX	18.388683	-98.304836	stringent
T3430_PAC	19.173905	-103.829438	stringent
T3437_PAC	19.450387	-103.481305	stringent
T3447_yava_OUT	33.283994	-109.267429	stringent
T3449_yava_OUT	33.283994	-109.267429	stringent
T351_Rspe_CMX	16.955855	-96.399318	stringent
T3611_PAC	15.913195	-95.803754	stringent
T3618_PAC	16.607234	-94.197402	stringent
T3629_PAC	16.771725	-93.05368	stringent
T3661_PAC	16.607234	-94.197402	stringent
T3663_PAC	16.16675	-92.100597	stringent
T3670_PAC	16.607234	-94.197402	stringent
T3683_PAC	16.680533	-92.59599	stringent
T3686_PAC	16.680533	-92.59599	stringent
T3689_PAC	16.680533	-92.59599	stringent
T3693_PAC	16.680533	-92.59599	stringent
T3776_CMX	16.76025	-92.943501	stringent
T3778_PAC	15.913195	-95.803754	stringent
T3786_PAC	16.16675	-92.100597	stringent
T3800_CMX	16.509459	-92.366439	stringent
T3805_CMX	16.509459	-92.366439	stringent
T4029_bals_PAC	19.173905	-103.829438	stringent
T403_Rber_CMX	18.801441	-96.680664	stringent
T467_Rspe_CMX	16.955855	-96.399318	stringent
T486_Rspe_CMX	16.955855	-96.399318	stringent
T513_Romi_CMX	17.522928	-99.472544	stringent
T528_Rspe_CMX	16.955855	-96.399318	stringent
T537_Rspe_CMX	16.955855	-96.399318	stringent
TF7101_Rspe_CMX	16.52285	-96.98006	stringent
TF7102_Rspe_CMX	16.52285	-96.98006	stringent
TF7103_Rspe_CMX	16.52285	-96.98006	stringent
TF7120_Rfor_PAC	16.36572	-97.08813	stringent
TF7121_Rfor_PAC	16.36572	-97.08813	stringent
TF7122_Rfor_PAC	16.36572	-97.08813	stringent
TF7123_Rfor_PAC	16.36572	-97.08813	stringent
TF7124_Rfor_PAC	16.36572	-97.08813	stringent
TF7125_Rfor_PAC	16.36572	-97.08813	stringent
TF7126_Rfor_PAC	16.36572	-97.08813	stringent
TF7127_Rfor_PAC	16.36572	-97.08813	stringent
TF7128_Rfor_PAC	16.36572	-97.08813	stringent
TF7129_Rfor_PAC	16.36572	-97.08813	stringent
TF7133_Rspe_CMX	16.94697	-96.8151	stringent
TF7134_Rspe_CMX	16.94697	-96.8151	stringent
TF7135_Rspe_CMX	16.94697	-96.8151	stringent
TF7136_Rspe_CMX	16.94697	-96.8151	stringent
TF7137_Rspe_CMX	16.94697	-96.8151	stringent
TF7138_Rspe_CMX	16.94697	-96.8151	stringent
TF7139_Rspe_CMX	16.94697	-96.8151	stringent
TF7141_Rspe_CMX	16.94697	-96.8151	stringent
TF7142_Rspe_CMX	16.94697	-96.8151	stringent
TF8635_Rspe_CMX	16.34919	-95.33441	stringent
TF8636_Rspe_CMX	16.34919	-95.33441	stringent
TF8637_Rspe_CMX	16.34919	-95.33441	stringent
