Bioinformatics_ID	pooled_dataset
TF8535_Rmon_RJO	min_10K
T147_Rmon_RJO	min_10K
T149_Rmon_RJO	min_10K
T2099_Rmon_CMX	max_80p
T24985_Rmon_RJO	min_10K
T468_Rmon_RJO	max_80p
T1969_Rpus_RJO	min_10K
TF7106_Rsie_RJO	remove
TF7107_Rsie_RJO	min_1000
TF7109_Rsie_RJO	min_10K
TF7110_Rsie_RJO	min_10K
TF7130_Rsie_RJO	min_10K
TF8510_Rspe_CMX	min_1000
TF8511_Rspe_CMX	max_80p
TF8512_Rspe_CMX	max_80p
TF8513_Rspe_CMX	max_80p
TF8514_Rspe_CMX	max_80p
TF8516_Rspe_CMX	max_80p
TF8517_Rspe_CMX	max_80p
TF8518_Rspe_CMX	max_80p
TF8520_Rspe_CMX	max_80p
TF7111_Rzwe_RJO	min_1000
TF7112_Rzwe_RJO	min_10K
TF7113_Rzwe_RJO	min_10K
TF7114_Rzwe_RJO	min_1000
T14318_Rare_OUT	min_10K
Rchi_T2034a_JA17105	min_10K
T2057_Rchi_OUT	min_10K
T14316_Rpip_OUT	min_10K
TF7108_Rsie_RJO	min_10K
TF7131_Rsie_RJO	min_10K
T14192_papa_PAC	min_10K
T1957_papa_PAC	max_80p
T1958_papa_PAC	max_80p
T1959_papa_PAC	max_80p
T1960_papa_PAC	max_80p
T1961_papa_PAC	max_80p
T1965_papa_PAC	max_80p
V2606_pap_PAC	max_80p
V2602_pap_PAC	max_80p
V2603_pap_PAC	max_80p
V2605_pap_PAC	max_80p
V2593_pap_PAC	max_80p
V2596_pap_PAC	max_80p
V2598_pap_PAC	max_80p
V2599_pap_PAC	max_80p
V2600_pap_PAC	max_80p
V2644_pap_PAC	min_500
V2645_pap_PAC	max_80p
V2646_pap_PAC	min_10K
V2648_pap_PAC	max_80p
V2649_pap_PAC	max_80p
V2650_pap_PAC	max_80p
V2651_pap_PAC	max_80p
V2654_pap_PAC	max_80p
V2655_pap_PAC	max_80p
V2656_pap_PAC	remove
V2657_pap_PAC	max_80p
V2658_pap_PAC	max_80p
V2659_pap_PAC	min_10K
V2660_pap_PAC	max_80p
V2661_pap_PAC	max_80p
V2662_pap_PAC	max_80p
V2663_pap_PAC	max_80p
V2664_pap_PAC	max_80p
V2665_pap_PAC	max_80p
V2666_pap_PAC	max_80p
V2669_pap_PAC	max_80p
V2670_pap_PAC	max_80p
T14440_Rmag_CMX	remove
T2072_Rmag_CMX	max_80p
T14203_Romi_CMX	max_80p
T14236_Romi_CMX	min_10K
T513_Romi_CMX	max_80p
T14298_Ryav_OUT	min_10K
T14438_OUT	max_80p
T3447_yava_OUT	max_80p
T3449_yava_OUT	max_80p
T14429_Aten_PAC	min_500
T2020_Aten_PAC	max_80p
T2022_Aten_PAC	min_10K
T2024_PAC	max_80p
T2025_PAC	min_10K
T282_Atoy_CMX	max_80p
T283_Atoy_CMX	max_80p
T290_Atoy_CMX	max_80p
MVZ149013_LCA	min_1000
MVZ175967_LCA	max_80p
MVZ207321_LCA	remove
MVZ207327_LCA	max_80p
JHT4092_LCA	max_80p
JHT4093_LCA	max_80p
JHT4097_LCA	max_80p
JHT4104_LCA	min_1000
JHT4105_LCA	min_1000
JHT4106_LCA	min_10K
JHT4107_LCA	min_10K
JHT4108_LCA	min_500
JHT4110_LCA	min_10K
JHT4111_LCA	max_80p
JHT4118_LCA	min_1000
JHT4119_LCA	max_80p
JHT4120_LCA	max_80p
JHT4122_LCA	min_10K
MVZ269989_LCA	min_10K
MVZ269990_LCA	min_10K
MVZ269991_LCA	max_80p
TF7120_Rfor_PAC	max_80p
TF7121_Rfor_PAC	max_80p
TF7122_Rfor_PAC	max_80p
TF7123_Rfor_PAC	max_80p
TF7124_Rfor_PAC	max_80p
TF7125_Rfor_PAC	max_80p
TF7126_Rfor_PAC	max_80p
TF7127_Rfor_PAC	max_80p
TF7128_Rfor_PAC	max_80p
TF7129_Rfor_PAC	max_80p
T14199_PAC	max_80p
T2059_Rfor_PAC	max_80p
UTA60803_Rfor_PAC	min_10K
JA24801_PAC	min_10K
V2699_Rfor_PAC	max_80p
V2700_Rfor_PAC	max_80p
V2697_Rfor_PAC	max_80p
V2701_Rfor_PAC	max_80p
V2702_Rfor_PAC	max_80p
V2706_Rfor_PAC	max_80p
V2707_Rfor_PAC	max_80p
V2708_Rfor_PAC	max_80p
V2709_Rfor_PAC	min_500
V2685_Rfor_PAC	max_80p
V2686_Rfor_PAC	max_80p
V2687_Rfor_PAC	max_80p
V2688_Rfor_PAC	max_80p
V2689_Rfor_PAC	max_80p
V2692_Rfor_PAC	max_80p
V2693_Rfor_PAC	max_80p
