Bioinformatics_ID	lat	long	dataset
JHT4108_LCA	13.935591	-86.871249	remove
JHT4110_LCA	13.935591	-86.871249	relaxed
JHT4111_LCA	13.935591	-86.871249	stringent
JHT4113_LCA	13.935591	-86.871249	stringent
JHT4114_LCA	13.935591	-86.871249	relaxed
JHT4115_LCA	13.935591	-86.871249	stringent
JHT4118_LCA	13.935591	-86.871249	relaxed
JHT4119_LCA	13.935591	-86.871249	stringent
JHT4120_LCA	13.935591	-86.871249	stringent
JHT4122_LCA	13.935591	-86.871249	relaxed
JHT4124_LCA	13.935591	-86.871249	stringent
JHT4125_LCA	13.935591	-86.871249	remove
KEN177_LCA	13.15785	-85.87355	relaxed
KEN589_LCA	12.28544	-82.97516	remove
KEN590_LCA	12.28544	-82.97517	stringent
KEN591_LCA	12.28544	-82.97518	stringent
KEN592_LCA	12.28544	-82.97519	stringent
LK2_LCA	14.99996	-89.083348	stringent
MG66_LCA	15.209118	-87.506361	remove
MVZ143381_LCA	15.798792	-91.32012	stringent
MVZ145471_LCA	9.83093	-83.95333	stringent
MVZ145484_LCA	9.83093	-83.95333	relaxed
MVZ149013_LCA	10.39609	-85.17921	relaxed
MVZ150254_LCA	9.73333	-83.95	stringent
MVZ175967_LCA	10.39609	-85.17921	stringent
MVZ203928_LCA	9.73043	-83.80367	stringent
MVZ207321_LCA	10.93333	-85.45	remove
MVZ207327_LCA	10.93333	-85.45	stringent
MVZ263760_LCA	13.15735	-85.82385	stringent
MVZ263761_LCA	12.18779	-84.24668	stringent
MVZ263872_LCA	14.50393	-89.07652	relaxed
MVZ263873_LCA	14.50393	-89.07652	stringent
MVZ264276_LCA	14.99958	-89.960525	stringent
MVZ264277_LCA	14.9842	-89.283935	relaxed
MVZ264278_LCA	15.95351	-90.676453	stringent
MVZ265381_LCA	16.00745	-91.725626	stringent
MVZ265653_LCA	15.45615	-90.834737	stringent
MVZ269988_LCA	15.40716	-88.71202	stringent
MVZ269989_LCA	14.40899	-89.78107	stringent
MVZ269990_LCA	14.40899	-89.78107	stringent
MVZ269991_LCA	14.40899	-89.78107	stringent
MVZ3720_LCA	14.509341	-88.145697	remove
N1020_LCA	13.249898	-85.664605	remove
N918_LCA	13.550396	-85.692188	relaxed
N919_LCA	13.550396	-85.692188	remove
N997_LCA	13.249898	-85.664605	remove
T24735_LCA	17.08222222	-89.68555556	stringent
T24737_LCA	17.00611111	-89.70833333	stringent
T24740_LCA	17.08222222	-89.68555556	stringent
T24741_LCA	17.00138889	-89.72444444	stringent
T24745_LCA	17.00611111	-89.70833333	stringent
T24746_LCA	17.08222222	-89.68555556	relaxed
T2757_LCA	10.93333	-85.45	remove
T3039_LCA	9.767355	-83.801354	stringent
T3040_LCA	9.767355	-83.801354	stringent
T3041_LCA	9.767355	-83.801354	stringent
T3042_LCA	10.535548	-85.585251	relaxed
T3043_LCA	10.530324	-85.62654	stringent
T3544_LCA	9.959587	-84.736905	stringent
T3545_LCA	9.959587	-84.736905	stringent
T3548_LCA	9.959587	-84.736905	remove
T3549_LCA	9.694755	-83.926295	stringent
T3552_LCA	9.694755	-83.926295	stringent
T3553_LCA	9.694755	-83.926295	remove
T3554_LCA	9.694755	-83.926295	stringent
T3555_LCA	10.06703	-84.08045	relaxed
T3557_LCA	9.959587	-84.736905	stringent
T3561_LCA	9.694755	-83.926295	stringent
T3562_LCA	9.694755	-83.926295	stringent
T3565_LCA	10.06703	-84.08045	stringent
T3568_LCA	9.694755	-83.926295	relaxed
T3571_LCA	10.06703	-84.08045	stringent
T3572_LCA	9.694755	-83.926295	stringent
T3576_LCA	9.959587	-84.736905	stringent
T3577_LCA	9.959587	-84.736905	stringent
T3585_LCA	9.694755	-83.926295	remove
T3586_LCA	9.694755	-83.926295	relaxed
T3588_LCA	9.959587	-84.736905	stringent
T3591_LCA	9.694755	-83.926295	relaxed
T3592_LCA	9.694755	-83.926295	remove
T3593_LCA	10.06703	-84.08045	relaxed
T3594_LCA	9.694755	-83.926295	remove
T3595_LCA	9.694755	-83.926295	remove
T3600_LCA	10.06703	-84.08045	stringent
T3601_LCA	9.694755	-83.926295	stringent
T3649_LCA	8.706815	-82.624437	stringent
T3651_LCA	14.733506	-91.155807	stringent
T3652_LCA	14.733506	-91.155807	stringent
T3653_LCA	14.733506	-91.155807	stringent
T3654_LCA	14.733506	-91.155807	stringent
T3655_LCA	14.733506	-91.155807	stringent
T3656_LCA	14.733506	-91.155807	stringent
T3657_LCA	14.733506	-91.155807	stringent
T3658_LCA	14.733506	-91.155807	relaxed
T3703_LCA	9.959587	-84.736905	stringent
T3715_LCA	9.959587	-84.736905	stringent
T3743_LCA	9.959587	-84.736905	stringent
T3762_LCA	9.959587	-84.736905	relaxed
